portfolio,attacker,mean_hours,lo,hi,p_catastrophic,p_identity
baseline_flat,adaptive,185.14374999999998,169.2406354166667,199.1496979166667,0.9166666666666666,0.9166666666666666
baseline_flat,naive,185.14374999999998,169.2406354166667,199.1496979166667,0.9166666666666666,0.9166666666666666
fast_detection,adaptive,85.29749999999997,70.14008333333334,99.96319791666667,0.7,0.6833333333333333
fast_detection,naive,85.29749999999997,70.14008333333334,99.96319791666667,0.7,0.6833333333333333
full_defense,adaptive,3.62,2.4132916666666664,4.941687499999999,0.03333333333333333,0.1
full_defense,naive,3.62,2.4132916666666664,4.941687499999999,0.03333333333333333,0.1
isolated_backups,adaptive,135.7875,122.85494791666667,147.59201041666668,0.9166666666666666,0.9166666666666666
isolated_backups,naive,135.7875,122.85494791666667,147.59201041666668,0.9166666666666666,0.9166666666666666
least_privilege,adaptive,74.27250000000001,56.475666666666676,92.90294791666666,0.6166666666666667,0.5666666666666667
least_privilege,naive,74.27250000000001,56.475666666666676,92.90294791666666,0.6166666666666667,0.5666666666666667
patch_90,adaptive,147.7133333333333,124.60024999999999,169.20372916666662,0.7333333333333333,0.7333333333333333
patch_90,naive,147.7133333333333,124.60024999999999,169.20372916666662,0.7333333333333333,0.7333333333333333
