profile,portfolio,pareto_inclusion_probability,n_bootstrap_samples
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm0,1,500
high_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm0,0.006,500
high_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm0,0.878,500
high_capacity,seg-least_privilege|patch+0|det1|iso0|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm0,0,500
high_capacity,seg-least_privilege|patch+0|det1|iso1|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm0,0.63,500
high_capacity,seg-least_privilege|patch+1|det0|iso0|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm0,0,500
high_capacity,seg-least_privilege|patch+1|det0|iso1|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm0,0,500
high_capacity,seg-least_privilege|patch+1|det1|iso0|bak-isolated|idm1,0,500
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm0,0,500
high_capacity,seg-least_privilege|patch+1|det1|iso1|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm0,1,500
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-periodic|idm0,1,500
intermediate_capacity,seg-basic|patch+0|det0|iso0|bak-periodic|idm1,0,500
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm0,0,500
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-periodic|idm0,0.164,500
intermediate_capacity,seg-basic|patch+0|det0|iso1|bak-periodic|idm1,0,500
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm0,1,500
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-isolated|idm1,0.084,500
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-periodic|idm0,1,500
intermediate_capacity,seg-basic|patch+0|det1|iso0|bak-periodic|idm1,0.012,500
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm0,0,500
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-periodic|idm0,0,500
intermediate_capacity,seg-basic|patch+0|det1|iso1|bak-periodic|idm1,0,500
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm0,0.136,500
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-periodic|idm0,0.074,500
intermediate_capacity,seg-basic|patch+1|det0|iso0|bak-periodic|idm1,0,500
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-isolated|idm0,0,500
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-periodic|idm0,0,500
intermediate_capacity,seg-basic|patch+1|det0|iso1|bak-periodic|idm1,0,500
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-isolated|idm0,0.006,500
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-periodic|idm0,0.008,500
intermediate_capacity,seg-basic|patch+1|det1|iso0|bak-periodic|idm1,0.002,500
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-isolated|idm0,0.002,500
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-isolated|idm1,0.002,500
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-periodic|idm0,0,500
intermediate_capacity,seg-basic|patch+1|det1|iso1|bak-periodic|idm1,0,500
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-isolated|idm0,0,500
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-periodic|idm0,0.042,500
intermediate_capacity,seg-basic|patch+2|det0|iso0|bak-periodic|idm1,0,500
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-isolated|idm0,0,500
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-periodic|idm0,0,500
intermediate_capacity,seg-basic|patch+2|det0|iso1|bak-periodic|idm1,0,500
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-isolated|idm0,0.008,500
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-isolated|idm1,0,500
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-periodic|idm0,0,500
intermediate_capacity,seg-basic|patch+2|det1|iso0|bak-periodic|idm1,0,500
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-isolated|idm0,0.004,500
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-isolated|idm1,0.002,500
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-periodic|idm0,0,500
intermediate_capacity,seg-basic|patch+2|det1|iso1|bak-periodic|idm1,0,500
intermediate_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm0,0.434,500
intermediate_capacity,seg-least_privilege|patch+0|det0|iso0|bak-isolated|idm1,0.032,500
intermediate_capacity,seg-least_privilege|patch+0|det0|iso0|bak-periodic|idm0,0.954,500
intermediate_capacity,seg-least_privilege|patch+0|det0|iso0|bak-periodic|idm1,0.032,500
intermediate_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm0,0.002,500
intermediate_capacity,seg-least_privilege|patch+0|det0|iso1|bak-isolated|idm1,0,500
